date,symbol,action,price,qty,pnl_pct,reason
2019-11-26,TSLA,BUY,21.945541896057126,20.0,,
2019-12-18,TSLA,EXIT,26.189031085205077,,19.431997663186934,TAKE PROFIT (19.4%)
2019-12-18,TSLA,BUY,26.230967083740232,20.0,,
2019-12-26,GOOGL,EXIT,67.51101142578125,,18.025813957046967,TAKE PROFIT (18.0%)
2019-12-26,GOOGL,BUY,67.61911552734374,20.0,,
2020-01-07,TSLA,EXIT,31.245649589538573,,19.21278396868656,TAKE PROFIT (19.2%)
2020-01-07,TSLA,BUY,31.29568265533447,20.0,,
2020-01-13,AAPL,EXIT,76.34330303344727,,19.751475677006464,TAKE PROFIT (19.8%)
2020-01-13,AAPL,BUY,76.46555011596679,20.0,,
2020-01-22,TSLA,EXIT,37.94029225769043,,21.328776275319118,TAKE PROFIT (21.3%)
2020-01-22,TSLA,BUY,38.00104532775879,20.0,,
2020-01-30,MSFT,EXIT,163.54686842041016,,19.840433926589025,TAKE PROFIT (19.8%)
2020-01-30,MSFT,BUY,163.80875291748046,20.0,,
2020-02-03,TSLA,EXIT,51.9584,,36.83834102851728,TAKE PROFIT (36.8%)
2020-02-03,TSLA,BUY,52.041599999999995,20.0,,
2020-02-25,AAPL,EXIT,69.55189602661133,,-8.968702916909535,STOP LOSS (-9.0%)
2020-02-25,AAPL,BUY,69.66326815795898,20.0,,
2020-02-27,MSFT,EXIT,150.13602060546876,,-8.273384108094712,STOP LOSS (-8.3%)
2020-02-27,MSFT,BUY,150.37643056640624,20.0,,
2020-02-27,TSLA,EXIT,45.23045307922363,,-13.018303794745897,STOP LOSS (-13.0%)
2020-03-05,TSLA,BUY,48.341307843017574,20.0,,
2020-03-09,GOOGL,EXIT,60.24296577148437,,-10.8370491683106,STOP LOSS (-10.8%)
2020-03-09,TSLA,EXIT,40.500906158447265,,-16.15176619479551,STOP LOSS (-16.2%)
2020-03-10,GOOGL,BUY,63.286443786621085,20.0,,
2020-03-12,AAPL,EXIT,59.930814874267575,,-13.901831627253165,STOP LOSS (-13.9%)
2020-03-12,AAPL,BUY,60.02678095092773,20.0,,
2020-03-12,MSFT,EXIT,131.98833419189452,,-12.157770402003699,STOP LOSS (-12.2%)
2020-03-12,GOOGL,EXIT,55.0778240020752,,-12.900902245103627,STOP LOSS (-12.9%)
2020-03-13,MSFT,BUY,150.99435615234373,20.0,,
2020-03-16,MSFT,EXIT,128.5334129638672,,-14.807198560654488,STOP LOSS (-14.8%)
2020-03-23,AAPL,EXIT,54.17023309020996,,-9.684305713963518,STOP LOSS (-9.7%)
2020-04-09,AAPL,BUY,64.80512144165039,20.0,,
2020-04-13,MSFT,BUY,157.34484569091796,20.0,,
2020-04-17,GOOGL,BUY,63.47652569274902,20.0,,
2020-04-17,TSLA,BUY,50.29954203186035,20.0,,
2020-04-21,TSLA,EXIT,45.74470885620117,,-8.982602874711295,STOP LOSS (-9.0%)
2020-04-22,TSLA,BUY,48.84638076782226,20.0,,
2020-05-20,AAPL,EXIT,77.28116603393555,,19.347111379070824,TAKE PROFIT (19.3%)
2020-05-20,AAPL,BUY,77.40491489868164,20.0,,
2020-06-01,TSLA,EXIT,59.82543431091308,,22.574757916837736,TAKE PROFIT (22.6%)
2020-06-01,TSLA,BUY,59.921231643676755,20.0,,
2020-06-10,MSFT,EXIT,187.35033542480468,,19.165222648397183,TAKE PROFIT (19.2%)
2020-06-10,MSFT,BUY,187.65033596191404,20.0,,
2020-06-30,TSLA,EXIT,71.92974533691407,,20.136608060983768,TAKE PROFIT (20.1%)
2020-06-30,TSLA,BUY,72.04492507324218,20.0,,
2020-07-06,TSLA,EXIT,91.36551636352539,,26.91895675428223,TAKE PROFIT (26.9%)
2020-07-06,TSLA,BUY,91.51181823120116,20.0,,
2020-07-08,AAPL,EXIT,92.32440440063476,,19.370098371693658,TAKE PROFIT (19.4%)
2020-07-08,AAPL,BUY,92.47224171752929,20.0,,
2020-07-09,GOOGL,EXIT,75.25032130737304,,18.643181776702665,TAKE PROFIT (18.6%)
2020-07-10,GOOGL,BUY,76.38078081665039,20.0,,
2020-07-20,TSLA,EXIT,109.44570615844727,,19.693100783961253,TAKE PROFIT (19.7%)
2020-07-20,TSLA,BUY,109.62095949096678,20.0,,
2020-07-24,TSLA,EXIT,94.39109384155273,,-13.824265346740184,STOP LOSS (-13.8%)
2020-07-24,TSLA,BUY,94.54224050903319,20.0,,
2020-08-06,AAPL,EXIT,110.29686947021484,,19.37114918171144,TAKE PROFIT (19.4%)
2020-08-06,AAPL,BUY,110.47348575439452,20.0,,
2020-08-17,TSLA,EXIT,122.27809865112305,,29.440553547058133,TAKE PROFIT (29.4%)
2020-08-17,TSLA,BUY,122.47390025024413,20.0,,
2020-08-27,TSLA,EXIT,149.1306,,21.862698660731596,TAKE PROFIT (21.9%)
2020-08-27,TSLA,BUY,149.36939999999998,20.0,,
2020-09-03,TSLA,EXIT,135.55813841552734,,-9.173718477191645,STOP LOSS (-9.2%)
2020-09-04,TSLA,BUY,139.55155444335935,20.0,,
2020-09-08,TSLA,EXIT,109.98194369506835,,-21.12592358152556,STOP LOSS (-21.1%)
2020-09-23,GOOGL,EXIT,69.83592460327148,,-8.49551768591685,STOP LOSS (-8.5%)
2020-09-23,GOOGL,BUY,69.94775154418944,20.0,,
2020-11-04,GOOGL,EXIT,86.50768088989257,,23.773731867782384,TAKE PROFIT (23.8%)
2020-11-05,GOOGL,BUY,87.47254050292968,20.0,,
2020-11-23,TSLA,BUY,174.08915694580077,20.0,,
2020-12-07,TSLA,EXIT,213.74886217041015,,22.879564656370352,TAKE PROFIT (22.9%)
2020-12-07,TSLA,BUY,214.09113416748045,20.0,,
2020-12-28,AAPL,EXIT,132.83047915039063,,20.333696095031712,TAKE PROFIT (20.3%)
2020-12-28,AAPL,BUY,133.04317807617187,20.0,,
2021-01-07,TSLA,EXIT,271.7957255126953,,27.054927911610044,TAKE PROFIT (27.1%)
2021-01-07,TSLA,BUY,272.2309468505859,20.0,,
2021-01-26,MSFT,EXIT,222.24427292480468,,18.530142540486963,TAKE PROFIT (18.5%)
2021-01-27,MSFT,BUY,223.14625455322263,20.0,,
2021-02-05,GOOGL,EXIT,103.50250462646484,,18.42044638149655,TAKE PROFIT (18.4%)
2021-02-05,GOOGL,BUY,103.66824122314452,20.0,,
2021-02-22,TSLA,EXIT,237.97613841552734,,-12.51300614119834,STOP LOSS (-12.5%)
2021-02-22,TSLA,BUY,238.357205090332,20.0,,
2021-02-24,AAPL,EXIT,121.99268263549804,,-8.232532712400632,STOP LOSS (-8.2%)
2021-02-24,AAPL,BUY,122.18802720336913,20.0,,
2021-03-03,TSLA,EXIT,217.55915073242187,,-8.652504412514936,STOP LOSS (-8.7%)
2021-03-03,TSLA,BUY,217.9075240722656,20.0,,
