date,symbol,action,price,pnl_pct,reason
2020-04-30,TSLA,BUY,52.12533187866211,,
2020-05-01,TSLA,EXIT,46.75466537475586,-10.303371336624089,STOP LOSS (-10.3%)
2020-11-23,TSLA,BUY,173.9499969482422,,
2020-12-07,TSLA,EXIT,213.9199981689453,22.977868308095438,TAKE PROFIT (23.0%)
2021-03-04,TSLA,SELL,207.14666748046875,,
2021-03-09,TSLA,EXIT,224.52667236328125,-8.390192849446256,STOP LOSS (-8.4%)
2021-05-19,TSLA,SELL,187.82000732421875,,
2021-05-26,TSLA,EXIT,206.3766632080078,-9.880020849832139,STOP LOSS (-9.9%)
2021-12-27,TSLA,SELL,364.64666748046875,,
2022-01-03,TSLA,EXIT,399.9266662597656,-9.675118937206946,STOP LOSS (-9.7%)
2022-05-11,TSLA,SELL,244.6666717529297,,
2022-07-21,TSLA,EXIT,271.7066650390625,-11.051768143328673,STOP LOSS (-11.1%)
2023-02-09,TSLA,BUY,207.32000732421875,,
2023-03-07,TSLA,EXIT,187.7100067138672,-9.458807600601874,STOP LOSS (-9.5%)
2023-06-06,TSLA,BUY,221.30999755859375,,
2023-06-13,TSLA,EXIT,258.7099914550781,16.899369350262813,TAKE PROFIT (16.9%)
2023-08-17,TSLA,SELL,219.22000122070312,,
2023-08-23,TSLA,EXIT,236.86000061035156,-8.04671074328163,STOP LOSS (-8.0%)
2023-10-24,TSLA,SELL,216.52000427246094,,
2023-11-14,TSLA,EXIT,237.41000366210938,-9.648068990134147,STOP LOSS (-9.6%)
2024-01-24,TSLA,SELL,207.8300018310547,,
2024-03-06,TSLA,EXIT,176.5399932861328,15.055578246281097,TAKE PROFIT (15.1%)
2024-08-22,TSLA,SELL,210.66000366210938,,
2024-09-05,TSLA,EXIT,230.1699981689453,-9.261366262069009,STOP LOSS (-9.3%)
2024-09-23,TSLA,BUY,250.0,,
2024-10-11,TSLA,EXIT,217.8000030517578,-12.879998779296875,STOP LOSS (-12.9%)
2025-12-22,TSLA,BUY,488.7300109863281,,
2026-01-02,TSLA,EXIT,438.07000732421875,-10.365642077078535,STOP LOSS (-10.4%)
2026-01-30,TSLA,SELL,430.4100036621094,,
2026-03-27,TSLA,EXIT,361.8299865722656,15.93364849941593,TAKE PROFIT (15.9%)
