date,symbol,action,price,pnl_pct,commission,reason
2022-03-11,AAPL,EXIT,151.480769140625,-9.115643476218695,,STOP LOSS (-9.1%)
2022-09-12,AAPL,BUY,160.71266535644529,,0.040178166339111324,
2022-09-23,AAPL,EXIT,147.69231368408202,-8.028056279223915,,STOP LOSS (-8.0%)
2023-03-03,AAPL,BUY,148.99234383544922,,0.0372480859588623,
2023-05-18,AAPL,EXIT,172.65066353759767,15.971660157351833,,TAKE PROFIT (16.0%)
2023-05-25,AAPL,BUY,170.89212810058592,,0.04272303202514648,
2024-06-11,AAPL,EXIT,205.39573251953124,20.28651228631854,,TAKE PROFIT (20.3%)
2024-07-31,AAPL,BUY,220.55191083984374,,0.055137977709960935,
2024-12-23,AAPL,EXIT,253.68001118164062,15.112635709668071,,TAKE PROFIT (15.1%)
2025-01-30,AAPL,SELL,236.11010924072266,,0.05902752731018067,
2025-04-04,AAPL,EXIT,187.71258054199217,20.561414705733146,,TAKE PROFIT (20.6%)
2025-06-20,AAPL,SELL,200.2298855957031,,0.05005747139892578,
2025-08-07,AAPL,EXIT,219.53794724121093,-9.555302707568494,,STOP LOSS (-9.6%)
2025-09-11,AAPL,BUY,229.77606588134765,,0.057444016470336916,
2025-10-27,AAPL,EXIT,268.08397561035156,16.765257283366427,,TAKE PROFIT (16.8%)
2025-11-21,AAPL,BUY,271.453164477539,,0.06786329111938476,
2026-01-20,AAPL,EXIT,246.27220010986326,-9.203719881207979,,STOP LOSS (-9.2%)
2018-07-30,MSFT,BUY,97.64407760009765,,0.024411019400024412,
2018-12-24,MSFT,EXIT,87.80156682739258,-10.00799385014644,,STOP LOSS (-10.0%)
2019-05-07,MSFT,BUY,117.76948665161132,,0.02944237166290283,
2019-10-28,MSFT,EXIT,136.02183271484375,15.590838658737557,,TAKE PROFIT (15.6%)
2019-12-02,MSFT,BUY,141.78492235107421,,0.0708924611755371,
2020-01-30,MSFT,EXIT,163.54686842041016,15.440914276951133,,TAKE PROFIT (15.4%)
2020-02-21,MSFT,BUY,169.7795138671875,,0.04244487846679687,
2020-02-27,MSFT,EXIT,150.13602060546876,-11.499201426929734,,STOP LOSS (-11.5%)
2020-05-26,MSFT,BUY,173.09327420654296,,0.04327331855163574,
2020-07-06,MSFT,EXIT,200.5421660888672,15.950622109092771,,TAKE PROFIT (16.0%)
2020-07-31,MSFT,BUY,195.43895628662108,,0.04885973907165527,
2021-01-28,MSFT,EXIT,228.55771483154297,17.039464262181774,,TAKE PROFIT (17.0%)
2021-02-22,MSFT,BUY,225.2063271972656,,0.0563015817993164,
2021-06-29,MSFT,EXIT,260.817058203125,15.905215521590952,,TAKE PROFIT (15.9%)
2021-08-18,MSFT,BUY,280.3764045410156,,0.1401882022705078,
2021-11-04,MSFT,EXIT,323.9397983886719,15.629971874975467,,TAKE PROFIT (15.6%)
2021-11-26,MSFT,BUY,318.5208788818359,,0.07963021972045899,
2022-01-18,MSFT,EXIT,291.9383814453125,-8.272223734189094,,STOP LOSS (-8.3%)
2022-04-06,MSFT,BUY,289.96081765136717,,0.07249020441284179,
2022-04-22,MSFT,EXIT,264.87789384765625,-8.57731469807,,STOP LOSS (-8.6%)
2022-08-22,MSFT,BUY,270.1018951171875,,0.06752547377929688,
2022-09-06,MSFT,EXIT,245.8828328979492,-8.893754133598986,,STOP LOSS (-8.9%)
2022-09-19,MSFT,SELL,237.4068005493164,,0.0593517001373291,
