date,symbol,action,price,qty,risk_mult,pnl_pct,reason
2021-02-03,GOOGL,EXIT,102.0184633178711,,,15.714073915434296,TAKE PROFIT
2021-02-22,MSFT,BUY,225.2063271972656,15.0,1.0,,
2021-02-22,TSLA,EXIT,237.97613841552734,,,-10.031272188444722,STOP LOSS
2021-02-25,GOOGL,BUY,100.05121417236327,15.0,1.0,,
2021-03-15,AAPL,BUY,120.86231385498046,15.0,1.0,,
2021-04-28,GOOGL,EXIT,116.89153458251953,,,16.92524038651634,TAKE PROFIT
2021-05-10,GOOGL,BUY,113.73911954956054,15.0,1.0,,
2021-05-27,TSLA,BUY,210.45156712646482,15.0,1.0,,
2021-06-03,TSLA,EXIT,190.79391319580077,,,-9.268116584048697,STOP LOSS
2021-06-10,TSLA,BUY,203.53603546142577,15.0,1.0,,
2021-06-29,MSFT,EXIT,260.817058203125,,,15.905215521590952,TAKE PROFIT
2021-07-07,AAPL,EXIT,140.93687336425782,,,16.702807215827015,TAKE PROFIT
2021-07-23,GOOGL,EXIT,131.81909713134766,,,15.988797313782296,TAKE PROFIT
2021-08-02,AAPL,BUY,142.09017429199218,15.0,1.0,,
2021-08-02,TSLA,EXIT,236.36742580566406,,,16.22348377096617,TAKE PROFIT
2021-08-10,MSFT,BUY,275.71126794433593,15.0,1.0,,
2021-08-18,GOOGL,BUY,134.44618557128905,15.0,1.0,,
2021-10-29,MSFT,EXIT,319.29889128417966,,,15.901877095797579,TAKE PROFIT
2021-11-15,TSLA,BUY,338.06689870605464,15.0,1.0,,
2021-11-26,MSFT,BUY,318.5208788818359,15.0,1.0,,
2021-12-07,AAPL,EXIT,167.37206813964843,,,17.88716132744378,TAKE PROFIT
2021-12-16,TSLA,EXIT,308.7261489746094,,,-8.605862088447893,STOP LOSS
2022-01-05,AAPL,BUY,171.30276518554686,15.0,1.0,,
2022-01-07,TSLA,BUY,342.5938633300781,15.0,1.0,,
2022-01-13,MSFT,EXIT,294.01228251953125,,,-7.620598782404539,STOP LOSS
2022-01-21,AAPL,EXIT,158.79720744628906,,,-7.2260469632880895,STOP LOSS
2022-01-21,TSLA,EXIT,314.38162463378904,,,-8.161422320723501,STOP LOSS
2022-01-28,AAPL,BUY,166.8076405883789,15.0,1.0,,
2022-01-28,MSFT,BUY,297.8259609375,15.0,1.0,,
2022-02-23,MSFT,EXIT,270.9094112060547,,,-8.964849336033415,STOP LOSS
2022-02-25,MSFT,BUY,287.8405620117187,15.0,1.0,,
2022-02-28,TSLA,BUY,290.37545573730466,15.0,1.0,,
2022-03-07,TSLA,EXIT,267.9787741943359,,,-7.639119092748113,STOP LOSS
2022-03-08,AAPL,EXIT,154.13385737304688,,,-7.523862432509877,STOP LOSS
2022-03-08,MSFT,EXIT,266.6370749755859,,,-7.292233743951025,STOP LOSS
2022-03-09,TSLA,BUY,286.55239240722653,15.0,1.0,,
2022-03-11,TSLA,EXIT,264.9045753662109,,,-7.48056002114679,STOP LOSS
2022-03-14,GOOGL,EXIT,124.81861374511719,,,-7.086580364344155,STOP LOSS
2022-03-17,AAPL,BUY,157.4988994995117,15.0,0.5,,
2022-04-11,TSLA,BUY,325.5702455566406,15.0,1.0,,
2022-04-26,TSLA,EXIT,291.90630263671875,,,-10.268208278998618,STOP LOSS
2022-05-11,AAPL,EXIT,143.63434439697266,,,-8.729937587585509,STOP LOSS
2022-08-26,AAPL,BUY,160.89949072265622,15.0,0.5,,
2022-09-16,AAPL,EXIT,147.9574212524414,,,-7.969949878059324,STOP LOSS
2023-02-21,AAPL,BUY,146.47673737792968,15.0,0.5,,
2023-04-18,GOOGL,BUY,103.72630155029296,15.0,1.0,,
2023-04-20,MSFT,BUY,279.71468173828123,15.0,1.0,,
2023-05-05,AAPL,EXIT,170.95449653320313,,,16.804465126409465,TAKE PROFIT
2023-05-17,GOOGL,EXIT,119.75357722167969,,,15.543941117961202,TAKE PROFIT
2023-05-23,AAPL,BUY,169.4794693359375,15.0,1.0,,
2023-05-26,MSFT,EXIT,325.6390299560547,,,16.511492257239404,TAKE PROFIT
2023-06-14,GOOGL,BUY,122.75436736450195,15.0,1.0,,
2023-06-23,MSFT,BUY,328.2473733398437,15.0,1.0,,
2023-07-20,TSLA,BUY,263.11031389160155,15.0,1.0,,
2023-08-09,TSLA,EXIT,241.99625043945312,,,-7.951155977417986,STOP LOSS
2023-08-28,TSLA,BUY,239.01106333007812,15.0,1.0,,
2023-09-14,TSLA,EXIT,275.8191765380859,,,15.492565364518793,TAKE PROFIT
2023-11-13,TSLA,BUY,223.88897471923826,15.0,1.0,,
2023-12-13,AAPL,EXIT,195.76789713134764,,,15.603758737563627,TAKE PROFIT
2023-12-20,AAPL,BUY,192.98107419433592,15.0,1.0,,
2023-12-27,TSLA,EXIT,261.2308504394531,,,16.77216476124285,TAKE PROFIT
2024-01-05,AAPL,EXIT,179.17370020751952,,,-7.0804457487432195,STOP LOSS
2024-01-11,MSFT,EXIT,377.8139314208984,,,15.192521028667102,TAKE PROFIT
2024-01-12,GOOGL,EXIT,141.36746733398437,,,15.255086147250237,TAKE PROFIT
2024-01-18,AAPL,BUY,186.83991947021482,15.0,1.0,,
2024-01-31,GOOGL,BUY,139.06272985839843,15.0,1.0,,
2024-02-13,MSFT,BUY,399.7586687255859,15.0,1.0,,
2024-03-04,AAPL,EXIT,173.38202683105467,,,-7.128602924964714,STOP LOSS
2024-04-26,GOOGL,EXIT,170.40403393554686,,,22.63563823480795,TAKE PROFIT
2024-05-30,GOOGL,BUY,170.8357475830078,15.0,1.0,,
2024-07-05,MSFT,EXIT,460.95357373046875,,,15.400282201913212,TAKE PROFIT
2024-07-12,MSFT,BUY,447.857511328125,15.0,1.0,,
2024-07-22,AAPL,BUY,222.41900390624997,15.0,1.0,,
2024-07-25,MSFT,EXIT,412.4882266601562,,,-7.823700394999286,STOP LOSS
2024-07-29,TSLA,BUY,232.2856861083984,15.0,1.0,,
2024-08-02,TSLA,EXIT,207.50386217041014,,,-10.597160915014774,STOP LOSS
2024-08-05,GOOGL,EXIT,157.99936905517578,,,-7.439823346021647,STOP LOSS
2024-08-06,AAPL,EXIT,205.47507573242186,,,-7.5440570316459,STOP LOSS
2024-08-12,AAPL,BUY,216.28327038574216,15.0,1.0,,
2024-08-14,MSFT,BUY,411.6280198974609,15.0,1.0,,
2024-08-16,TSLA,BUY,216.29289111328123,15.0,1.0,,
2024-08-19,GOOGL,BUY,165.62587928466795,15.0,1.0,,
2024-09-06,GOOGL,EXIT,149.73479155273438,,,-9.522185820123306,STOP LOSS
2024-09-13,GOOGL,BUY,156.68121401367185,15.0,1.0,,
2024-09-23,TSLA,EXIT,249.79999999999998,,,15.584011436171064,TAKE PROFIT
2024-11-12,GOOGL,EXIT,180.43277819824218,,,15.251366366409048,TAKE PROFIT
2024-11-15,GOOGL,BUY,171.63687930908202,15.0,1.0,,
2024-12-16,AAPL,EXIT,249.4763303100586,,,15.439382214673298,TAKE PROFIT
2024-12-31,AAPL,BUY,249.25871107177733,15.0,1.0,,
2024-12-31,TSLA,BUY,404.1630683349609,15.0,1.0,,
2025-01-16,AAPL,EXIT,226.8382205566406,,,-8.9220049924723,STOP LOSS
2025-01-22,GOOGL,EXIT,197.2991571044922,,,15.04352887187812,TAKE PROFIT
2025-01-27,GOOGL,BUY,191.08006424560546,15.0,1.0,,
2025-01-28,AAPL,BUY,237.1551028198242,15.0,1.0,,
2025-02-06,TSLA,EXIT,374.02055131835937,,,-7.383915886646254,STOP LOSS
2025-02-25,GOOGL,EXIT,174.4730569946289,,,-8.61801942459906,STOP LOSS
2025-03-10,MSFT,EXIT,376.96994162597656,,,-8.3464339655051,STOP LOSS
2025-03-11,AAPL,EXIT,219.70574750976562,,,-7.28360882072871,STOP LOSS
2025-06-10,TSLA,BUY,326.3508683349609,11.239412835827226,0.5,,
2025-07-01,TSLA,EXIT,300.46942346191406,,,-7.856843467493226,STOP LOSS
2025-08-13,MSFT,BUY,517.987484033203,7.060921403542486,0.5,,
2025-09-10,AAPL,BUY,226.5396378662109,15.0,0.5,,
2025-10-07,GOOGL,BUY,245.62291596679685,15.0,1.0,,
2025-10-10,TSLA,BUY,413.82078222656247,15.0,1.0,,
2025-10-20,AAPL,EXIT,261.5317264892578,,,15.538773633664896,TAKE PROFIT
2025-11-03,GOOGL,EXIT,283.10841494140624,,,15.35368428168712,TAKE PROFIT
2025-11-17,AAPL,BUY,267.42372890624995,15.0,1.0,,
2025-11-20,MSFT,EXIT,476.95861223144533,,,-7.847100686212127,STOP LOSS
2025-11-28,MSFT,BUY,491.2822990722656,15.0,1.0,,
2025-12-15,GOOGL,BUY,308.2495763671875,15.0,1.0,,
2025-12-16,TSLA,EXIT,489.48810087890627,,,18.37974938015762,TAKE PROFIT
2026-01-15,MSFT,EXIT,455.25559060058595,,,-7.259006170116041,STOP LOSS
2026-01-20,AAPL,EXIT,246.27220010986326,,,-7.835637241915919,STOP LOSS
2026-01-27,AAPL,BUY,258.2349567626953,14.307787631382899,0.5,,
2026-02-10,TSLA,BUY,425.55015944824214,15.0,1.0,,
2026-03-03,TSLA,EXIT,392.1160486816406,,,-7.782905501763572,STOP LOSS
2026-03-04,TSLA,BUY,406.2647544433593,15.0,1.0,,
2026-03-20,TSLA,EXIT,367.66562346191404,,,-9.428522304565698,STOP LOSS
2026-03-26,GOOGL,EXIT,280.69527741699216,,,-8.866050445726517,STOP LOSS
